train_single_dqn.py:130: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 184/100000, Total Reward: -5, loss: 14.453125
Episode 185/100000, Total Reward: -5, loss: 20.703208923339844
Episode 186/100000, Total Reward: -5, loss: 14.453125
Episode 187/100000, Total Reward: -5, loss: 17.1875
Episode 188/100000, Total Reward: -5, loss: 12.890625
Episode 189/100000, Total Reward: -5, loss: 13.671875
Episode 190/100000, Total Reward: -5, loss: 17.96875
Episode 191/100000, Total Reward: -5, loss: 19.53125
Episode 192/100000, Total Reward: -5, loss: 14.84375
Episode 193/100000, Total Reward: -5, loss: 21.484375
Episode 194/100000, Total Reward: -5, loss: 14.0625
Episode 195/100000, Total Reward: -5, loss: 15.234375
Episode 196/100000, Total Reward: -5, loss: 16.40625
Episode 197/100000, Total Reward: -5, loss: 17.578125
Episode 198/100000, Total Reward: -5, loss: 14.453184127807617
Episode 199/100000, Total Reward: -5, loss: 21.09381866455078
Episode 200/100000, Total Reward: -5, loss: 16.01568031311035
Episode 201/100000, Total Reward: -5, loss: 17.578125
Episode 202/100000, Total Reward: -5, loss: 14.0625
Episode 203/100000, Total Reward: -5, loss: 15.625
Episode 204/100000, Total Reward: -5, loss: 17.96880340576172
Episode 205/100000, Total Reward: -5, loss: 14.843840599060059
Episode 206/100000, Total Reward: -5, loss: 14.843812942504883
Episode 207/100000, Total Reward: -5, loss: 19.53132438659668
Episode 208/100000, Total Reward: -5, loss: 16.79694175720215
Episode 209/100000, Total Reward: -5, loss: 14.84375
Episode 210/100000, Total Reward: -5, loss: 18.75
Episode 211/100000, Total Reward: -5, loss: 13.28125
Episode 212/100000, Total Reward: -5, loss: 17.1875
Episode 213/100000, Total Reward: -5, loss: 12.5
Episode 214/100000, Total Reward: -5, loss: 14.0625
Episode 215/100000, Total Reward: -5, loss: 20.312599182128906
Episode 216/100000, Total Reward: -5, loss: 17.968828201293945
Episode 217/100000, Total Reward: -5, loss: 17.187564849853516
Episode 218/100000, Total Reward: -5, loss: 13.671875
Episode 219/100000, Total Reward: -5, loss: 14.453125
Episode 220/100000, Total Reward: -5, loss: 16.01568031311035
Episode 221/100000, Total Reward: -5, loss: 17.1875
Episode 222/100000, Total Reward: -5, loss: 15.625044822692871
Episode 223/100000, Total Reward: -5, loss: 14.0625
Episode 224/100000, Total Reward: -5, loss: 15.625020027160645
Episode 225/100000, Total Reward: -5, loss: 17.578208923339844
Episode 226/100000, Total Reward: 5, loss: 15.234375
Episode 227/100000, Total Reward: -5, loss: 19.14071273803711
Episode 228/100000, Total Reward: -5, loss: 16.406307220458984
Episode 229/100000, Total Reward: -5, loss: 14.84375
Episode 230/100000, Total Reward: -5, loss: 13.671875
Episode 231/100000, Total Reward: -5, loss: 15.234375
Episode 232/100000, Total Reward: -5, loss: 16.796875
Episode 233/100000, Total Reward: -5, loss: 14.0625
Episode 234/100000, Total Reward: -5, loss: 13.671875
Episode 235/100000, Total Reward: -5, loss: 12.5
Episode 236/100000, Total Reward: -5, loss: 13.28125
Episode 237/100000, Total Reward: -5, loss: 15.234375
Episode 238/100000, Total Reward: -5, loss: 14.84375
Episode 239/100000, Total Reward: -5, loss: 16.015625
Episode 240/100000, Total Reward: 5, loss: 16.015687942504883
Episode 241/100000, Total Reward: -5, loss: 19.140676498413086
Episode 242/100000, Total Reward: -5, loss: 14.453125
Episode 243/100000, Total Reward: -5, loss: 12.890666007995605
Episode 244/100000, Total Reward: -5, loss: 12.890690803527832
Episode 245/100000, Total Reward: 5, loss: 16.40625
Episode 246/100000, Total Reward: -5, loss: 14.84375
Episode 247/100000, Total Reward: -5, loss: 14.45317554473877
Episode 248/100000, Total Reward: -5, loss: 14.84375
Episode 249/100000, Total Reward: -5, loss: 12.109375
Episode 250/100000, Total Reward: 5, loss: 12.109375
Episode 251/100000, Total Reward: -5, loss: 14.453125
Episode 252/100000, Total Reward: -5, loss: 13.671929359436035
Episode 253/100000, Total Reward: -5, loss: 16.015684127807617
Episode 254/100000, Total Reward: -5, loss: 15.234429359436035
Episode 255/100000, Total Reward: -5, loss: 16.796875
Episode 256/100000, Total Reward: -5, loss: 12.890625
Episode 257/100000, Total Reward: -5, loss: 19.53125
Episode 258/100000, Total Reward: -5, loss: 17.1875
Episode 259/100000, Total Reward: -5, loss: 16.015668869018555
Episode 260/100000, Total Reward: -5, loss: 16.40625
Episode 261/100000, Total Reward: -5, loss: 16.015666961669922
Episode 262/100000, Total Reward: -5, loss: 19.9219970703125
Episode 263/100000, Total Reward: -5, loss: 14.0625
Episode 264/100000, Total Reward: -5, loss: 17.1875
Episode 265/100000, Total Reward: -5, loss: 18.359375
Episode 266/100000, Total Reward: -5, loss: 14.453125
Episode 267/100000, Total Reward: -5, loss: 12.5
Episode 268/100000, Total Reward: -5, loss: 17.187549591064453
Episode 269/100000, Total Reward: -5, loss: 14.0625
Episode 270/100000, Total Reward: -5, loss: 17.18755531311035
Episode 271/100000, Total Reward: -5, loss: 14.4531831741333
Episode 272/100000, Total Reward: -5, loss: 12.890625
Episode 273/100000, Total Reward: -5, loss: 11.328125
Episode 274/100000, Total Reward: -5, loss: 16.40625
Episode 275/100000, Total Reward: -5, loss: 13.671875
Episode 276/100000, Total Reward: -5, loss: 15.234375
Episode 277/100000, Total Reward: -5, loss: 12.890689849853516
Episode 278/100000, Total Reward: -5, loss: 12.109375
Episode 279/100000, Total Reward: -5, loss: 13.28125
Episode 280/100000, Total Reward: 5, loss: 16.40625
Episode 281/100000, Total Reward: -5, loss: 12.890625
Episode 282/100000, Total Reward: -5, loss: 13.28125
Episode 283/100000, Total Reward: -5, loss: 14.0625
Episode 284/100000, Total Reward: -5, loss: 13.671875
Episode 285/100000, Total Reward: -5, loss: 13.671875
Episode 286/100000, Total Reward: -5, loss: 18.359375
Episode 287/100000, Total Reward: -5, loss: 14.453125
Episode 288/100000, Total Reward: -5, loss: 15.625
Episode 289/100000, Total Reward: -5, loss: 20.312576293945312
Episode 290/100000, Total Reward: -5, loss: 9.765625
Episode 291/100000, Total Reward: -5, loss: 12.5
Episode 292/100000, Total Reward: -5, loss: 17.96875
Episode 293/100000, Total Reward: -5, loss: 13.28125
Episode 294/100000, Total Reward: -5, loss: 13.671965599060059
Episode 295/100000, Total Reward: -5, loss: 14.84375
Episode 296/100000, Total Reward: -5, loss: 10.9375
Episode 297/100000, Total Reward: -5, loss: 14.843794822692871
Episode 298/100000, Total Reward: -5, loss: 14.84375
Episode 299/100000, Total Reward: -5, loss: 16.015625
Episode 300/100000, Total Reward: -5, loss: 13.671875
Episode 301/100000, Total Reward: -5, loss: 17.578174591064453
Episode 302/100000, Total Reward: -5, loss: 13.671875
Episode 303/100000, Total Reward: -5, loss: 15.62511920928955
Episode 304/100000, Total Reward: -5, loss: 19.531494140625
Episode 305/100000, Total Reward: -5, loss: 14.0625
Episode 306/100000, Total Reward: -5, loss: 13.28125
Episode 307/100000, Total Reward: -5, loss: 15.625
Episode 308/100000, Total Reward: -5, loss: 18.35947608947754
Episode 309/100000, Total Reward: -5, loss: 14.453125
Episode 310/100000, Total Reward: -5, loss: 19.531291961669922
Episode 311/100000, Total Reward: -5, loss: 12.109375
Episode 312/100000, Total Reward: -5, loss: 16.79690933227539
Episode 313/100000, Total Reward: -5, loss: 13.671875
Episode 314/100000, Total Reward: -5, loss: 14.843798637390137
Episode 315/100000, Total Reward: -5, loss: 16.015625
Episode 316/100000, Total Reward: -5, loss: 15.234375
Episode 317/100000, Total Reward: -5, loss: 17.96875
Episode 318/100000, Total Reward: -5, loss: 14.453125
Episode 319/100000, Total Reward: -5, loss: 14.453125
Episode 320/100000, Total Reward: -5, loss: 14.84375
Episode 321/100000, Total Reward: -5, loss: 15.234418869018555
Episode 322/100000, Total Reward: -5, loss: 15.625
Episode 323/100000, Total Reward: -5, loss: 19.53125
Episode 324/100000, Total Reward: -5, loss: 13.28125
Episode 325/100000, Total Reward: -5, loss: 13.28125
Episode 326/100000, Total Reward: -5, loss: 16.015625
Episode 327/100000, Total Reward: -5, loss: 16.406442642211914
Episode 328/100000, Total Reward: -5, loss: 16.01568603515625
Episode 329/100000, Total Reward: -5, loss: 10.546875
Episode 330/100000, Total Reward: -5, loss: 14.0625
Episode 331/100000, Total Reward: -5, loss: 14.0625
Episode 332/100000, Total Reward: -5, loss: 14.453186988830566
Episode 333/100000, Total Reward: -5, loss: 11.71875
Episode 334/100000, Total Reward: -5, loss: 18.750078201293945
Episode 335/100000, Total Reward: -5, loss: 16.40635871887207
